,won
5737,0
36793,0
54060,0
31602,0
67984,0
21508,0
18513,0
26335,0
46923,0
70011,0
60149,0
74380,0
15588,0
44513,0
4326,0
39852,0
20800,0
37179,0
6603,0
50588,0
31792,0
47818,0
5757,0
44759,0
70124,0
43414,0
18511,0
13318,0
42676,0
52148,0
69764,0
23697,0
21378,0
68151,0
31527,0
57181,0
69516,0
41783,0
6784,0
9908,0
37760,0
45280,0
50054,0
38671,0
8612,0
8790,0
3531,0
53882,0
37027,0
13097,0
38402,0
61625,0
51037,0
4882,0
1560,0
74938,0
51336,0
38074,0
216,0
46729,0
11602,0
57908,1
27250,0
60333,0
45617,0
72887,0
27519,0
54172,0
7850,0
70022,0
30033,0
56058,0
28724,0
10841,0
3207,0
13450,0
58684,0
68838,0
60908,0
47594,0
63312,0
16252,0
59636,0
36269,0
71923,0
23836,0
29393,0
68826,0
63595,0
62718,0
51513,0
69963,0
70956,0
44077,0
13725,0
57931,0
42714,0
31228,0
28284,0
39468,0
4538,0
73763,0
6641,0
32271,0
824,0
48006,0
31178,0
30056,0
24965,1
68860,0
45981,0
27884,0
71473,0
39185,0
9723,0
76702,0
25863,0
44459,0
76302,0
22707,0
55382,0
6757,0
55399,1
63604,0
27943,0
15010,0
52971,0
35871,0
36426,1
25369,1
13208,0
58513,0
32517,0
23635,0
46272,0
69618,0
75275,0
8529,0
50455,0
37122,0
61538,0
23927,0
27661,0
58768,0
12156,0
40384,1
57169,0
64742,0
7583,0
60161,0
35413,0
70268,0
35392,1
68294,0
44878,0
55865,0
75087,0
56851,0
65639,0
44377,0
30885,0
75245,0
37635,1
34123,0
25869,0
75043,0
3143,1
57636,0
36614,1
49630,0
34779,0
50505,0
26131,0
26257,0
57934,1
18252,0
29576,0
38778,0
15229,0
34436,0
62114,0
71082,0
41987,0
42392,0
20792,0
1314,0
63597,0
34942,0
13448,0
51652,0
29026,1
31494,0
15590,0
65929,1
63834,0
59381,1
63693,0
73249,0
9490,0
15549,0
45984,0
22017,0
38856,0
41026,0
15831,0
5740,0
51931,0
15248,1
27742,0
13988,0
35496,0
26944,0
25110,0
10325,0
76669,0
7493,0
55719,0
43018,0
44693,0
68213,0
32667,0
55400,0
2476,0
723,0
8021,0
14947,0
17388,0
29365,0
55358,0
16532,0
20234,0
18049,1
64809,0
16272,0
41174,1
45354,0
73423,0
39331,0
37571,0
35290,0
26609,0
22225,0
28355,0
21851,0
31060,0
56715,0
23501,0
34150,0
16198,0
57889,0
71107,0
20075,0
69306,0
54519,0
32187,0
38215,0
29921,0
6853,0
74038,0
347,0
26852,1
657,0
909,0
70131,0
66141,0
74578,0
49841,0
10684,0
43047,0
21259,1
1875,0
27242,0
9783,0
16243,0
15795,0
33712,0
8554,0
3316,0
36555,0
36778,0
75860,0
65899,0
49504,0
53059,0
41484,0
8600,0
1547,0
3960,0
3565,0
6972,0
36421,0
39554,0
45398,0
12553,0
68386,0
65731,1
8040,0
4980,0
14590,0
47934,1
72181,0
16850,0
53280,0
51158,0
1271,0
35687,0
59017,0
7138,0
25019,0
26948,0
47089,0
16822,0
67681,0
52316,0
36870,0
19568,0
25881,0
70330,1
42586,0
51695,0
31837,0
20945,0
53439,0
69178,0
15049,0
23105,0
42559,0
69819,0
10157,0
30251,0
35516,1
55373,0
52126,0
17238,0
8676,0
74666,0
42986,0
24418,0
74366,0
34113,0
1579,0
26468,0
59040,0
47225,0
33718,0
64691,0
21714,0
